StartTime: 2021-12-24 17:37:29.399
address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)
0x50	 17:37:33.898	-8.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0055	98.6188	0.0055	0.00
0x50	 17:37:33.898	-8.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0110	-1.8127	-0.0055	0.00
0x50	 17:37:33.898	-8.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0165	-61.8036	-0.0110	0.00
0x50	 17:37:33.999	-7.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0055	106.8475	0.0055	0.00
0x50	 17:37:34.000	-7.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0110	-1.7249	-0.0055	0.00
0x50	 17:37:34.000	-7.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0165	-61.8311	-0.0110	0.00
0x50	 17:37:34.097	-6.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0055	103.2220	0.0055	0.00
0x50	 17:37:34.098	-6.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0110	-1.6425	-0.0055	0.00
0x50	 17:37:34.098	-6.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0165	-61.8256	-0.0110	0.00
0x50	 17:37:34.198	-5.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0055	99.0033	0.0055	0.00
0x50	 17:37:34.199	-5.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0110	-1.5601	-0.0055	0.00
0x50	 17:37:34.200	-5.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0165	-61.8146	-0.0110	0.00
0x50	 17:37:34.304	-4.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0055	103.4418	0.0055	0.00
0x50	 17:37:34.304	-4.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0110	-2.7411	-0.0055	0.00
0x50	 17:37:34.304	-4.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0165	-61.7706	-0.0110	0.00
0x50	 17:37:34.397	-3.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0055	97.2070	0.0055	0.00
0x50	 17:37:34.398	-3.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0110	-2.5983	-0.0055	0.00
0x50	 17:37:34.398	-3.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0165	-61.7487	-0.0110	0.00
0x50	 17:37:34.498	-2.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0055	91.1481	0.0055	0.00
0x50	 17:37:34.503	-2.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0110	-2.4829	-0.0055	0.00
0x50	 17:37:34.503	-2.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0165	-61.7322	-0.0110	0.00
0x50	 17:37:34.597	-1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0055	91.9281	0.0055	0.00
0x50	 17:37:34.598	-1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0110	-3.6255	-0.0055	0.00
0x50	 17:37:34.598	-1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0165	-61.6553	-0.0110	0.00
0x50	 17:37:34.700	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0055	93.2739	0.0055	0.00
0x50	 17:37:34.795	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0110	-3.4497	-0.0055	0.00
0x50	 17:37:34.795	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0165	-61.6772	-0.0110	0.00
0x50	 17:37:34.797	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0055	82.8534	0.0055	0.00
0x50	 17:37:34.798	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0110	-3.2904	-0.0055	0.00
0x50	 17:37:34.798	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0165	-61.6333	-0.0110	0.00
0x50	 17:37:34.897	2.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0055	80.7825	0.0055	0.00
0x50	 17:37:34.898	2.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0110	-3.1256	-0.0055	0.00
0x50	 17:37:34.898	2.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0165	-61.6333	-0.0110	0.00
0x50	 17:37:34.998	3.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0055	82.2876	0.0055	0.00
0x50	 17:37:35.000	3.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0110	-2.9718	-0.0055	0.00
0x50	 17:37:35.000	3.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0165	-61.6553	-0.0110	0.00
0x50	 17:37:35.098	4.0000	-0.0044	0.0610	0.0000	0.0000	0.0000	0.0055	79.5245	0.0055	0.00
0x50	 17:37:35.098	4.0000	-0.0044	0.0610	0.0000	0.0000	0.0000	0.0110	-2.8235	-0.0055	0.00
0x50	 17:37:35.098	4.0000	-0.0044	0.0610	0.0000	0.0000	0.0000	0.0165	-61.6553	-0.0110	0.00
0x50	 17:37:35.198	5.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0055	80.1508	0.0055	0.00
0x50	 17:37:35.199	5.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0110	-2.6862	-0.0055	0.00
0x50	 17:37:35.199	5.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0165	-61.6663	-0.0110	0.00
0x50	 17:37:35.298	6.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0055	81.7493	0.0055	0.00
0x50	 17:37:35.298	6.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0110	-2.5598	-0.0055	0.00
0x50	 17:37:35.298	6.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0165	-61.6882	-0.0110	0.00
0x50	 17:37:35.397	7.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0055	86.2262	0.0055	0.00
0x50	 17:37:35.398	7.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0110	-2.4390	-0.0055	0.00
0x50	 17:37:35.398	7.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0165	-61.7157	-0.0110	0.00
0x50	 17:37:35.517	8.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0055	84.5892	0.0055	0.00
0x50	 17:37:35.517	8.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0110	-2.3181	-0.0055	0.00
0x50	 17:37:35.517	8.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0165	-61.7157	-0.0110	0.00
0x50	 17:37:35.597	9.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0055	89.0991	0.0055	0.00
0x50	 17:37:35.598	9.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0110	-2.2083	-0.0055	0.00
0x50	 17:37:35.598	9.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0165	-61.7432	-0.0110	0.00
0x50	 17:37:35.697	10.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0055	88.6267	0.0055	0.00
0x50	 17:37:35.698	10.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0110	-2.1039	-0.0055	0.00
0x50	 17:37:35.698	10.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0165	-61.7487	-0.0110	0.00
0x50	 17:37:35.810	11.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0055	88.8300	0.0055	0.00
0x50	 17:37:35.810	11.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0110	-2.0050	-0.0055	0.00
0x50	 17:37:35.810	11.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0165	-61.7542	-0.0110	0.00
